note,pitch,chord,bar,mapped voice,cost,category
6,65,4,2 1/2,1,0,repetition
9,62,6,2 5/4,1,2,other
16,62,9,3 1/1,1,0,repetition
31,60,15,5 1/2,3,0,repetition
46,66,20,6 1/1,2,2,ficta
53,64,22,7 1/2,1,0,repetition
71,62,29,9 1/2,3,0,repetition
76,57,33,9 9/8,3,n/a,ornamentation
77,59,34,9 5/4,3,n/a,ornamentation
78,61,35,9 11/8,3,n/a,ornamentation
90,65,41,11 3/4,1,0,repetition
101,62,45,12 1/1,1,0,repetition
130,66,56,15 1/1,2,2,ficta
139,60,59,16 1/1,3,0,repetition
150,55,64,18,5,2,other
154,62,65,18 1/2,3,0,repetition
159,57,69,18 9/8,3,n/a,ornamentation
160,59,70,18 5/4,3,n/a,ornamentation
161,57,71,18 21/16,3,n/a,ornamentation
162,59,72,18 11/8,3,n/a,ornamentation
163,61,73,18 23/16,3,n/a,ornamentation
169,65,75,19 1/2,2,0,repetition
174,65,78,19 5/4,2,0,repetition
183,59,83,20 5/4,3,3,other
199,62,89,22 1/1,3,0,repetition
200,66,89,22 1/1,2,1,ficta
209,55,94,23 5/4,3,0,repetition
221,48,101,25 1/1,5,0,repetition
222,55,101,25 1/1,3,0,repetition
223,64,101,25 1/1,2,0,repetition
224,45,102,25 5/4,5,0,repetition
225,57,102,25 5/4,3,0,repetition
226,60,102,25 5/4,2,0,repetition
233,59,105,26 3/4,2,1,other
235,54,106,26 1/1,1,1,ficta
257,66,112,28 1/1,0,2,ficta
265,54,115,29 1/1,1,1,ficta
268,43,116,30,4,0,repetition
271,62,116,30,1,7,other
272,67,116,30,0,0,repetition
274,55,117,30 1/2,3,0,repetition
276,64,117,30 1/2,0,3,other
278,54,118,30 1/1,1,1,ficta
280,62,118,30 1/1,0,5,other
283,62,119,31,2,5,other
298,55,128,32 1/2,4,0,repetition
309,66,132,32 3/2,1,2,ficta
313,62,133,33,3,0,repetition
315,69,134,33 1/4,1,2,other
317,71,135,33 1/2,0,0,repetition
326,54,139,33 3/2,4,1,ficta
333,54,141,34 1/2,4,1,ficta
348,54,148,35 1/2,4,2,ficta
349,57,148,35 1/2,3,0,repetition
350,62,148,35 1/2,2,0,repetition
356,57,150,35 5/4,3,0,repetition
357,59,151,35 3/2,3,2,other
358,60,152,35 7/4,2,2,other
364,52,154,36 1/4,4,1,other
365,53,155,36 1/2,4,0,repetition
369,62,157,36 1/1,3,10,other
370,65,157,36 1/1,1,0,repetition
371,69,157,36 1/1,0,0,repetition
379,65,160,37,1,0,repetition
380,69,160,37,0,0,repetition
387,65,164,37 1/1,1,0,repetition
388,69,164,37 1/1,0,0,repetition
389,52,165,37 5/4,5,2,other
393,48,167,37 7/4,5,2,other
394,52,167,37 7/4,4,2,other
397,65,168,38,1,0,repetition
398,69,168,38,0,0,repetition
399,64,169,38 1/4,1,1,other
400,62,170,38 1/2,1,3,other
401,64,171,38 3/4,1,1,other
402,50,172,38 1/1,5,0,repetition
403,57,172,38 1/1,3,0,repetition
405,65,172,38 1/1,1,0,repetition
406,69,172,38 1/1,0,0,repetition
407,52,173,38 5/4,4,1,other
408,53,174,38 3/2,4,0,repetition
409,52,175,38 7/4,5,2,other
411,57,176,39,3,0,repetition
413,66,176,39,1,1,other
414,69,176,39,0,0,repetition
415,48,177,39 1/4,5,2,other
416,50,178,39 1/2,5,0,repetition
417,52,179,39 3/4,5,2,other
418,50,180,39 1/1,5,0,repetition
419,57,180,39 1/1,3,0,repetition
420,62,180,39 1/1,2,0,repetition
421,66,180,39 1/1,1,1,other
422,69,180,39 1/1,0,0,repetition
423,48,181,39 5/4,5,2,other
424,47,182,39 3/2,5,3,other
425,45,183,39 7/4,5,5,other
427,59,185,40 1/4,4,4,other
428,62,185,40 1/4,2,0,repetition
429,71,185,40 1/4,0,0,repetition
430,55,186,40 1/2,4,0,repetition
431,43,187,40 3/4,5,0,repetition
432,43,188,40 1/1,5,0,repetition
433,55,188,40 1/1,4,0,repetition
434,62,188,40 1/1,2,0,repetition
435,71,188,40 1/1,0,0,repetition
436,62,189,40 5/4,0,n/a,ornamentation
437,64,190,40 21/16,0,n/a,ornamentation
438,66,191,40 11/8,0,n/a,ornamentation
439,67,192,40 23/16,0,n/a,ornamentation
440,69,193,40 3/2,0,n/a,ornamentation
441,71,194,40 25/16,0,n/a,ornamentation
442,72,195,40 13/8,0,n/a,ornamentation
443,71,196,40 27/16,0,n/a,ornamentation
444,69,197,40 7/4,0,n/a,ornamentation
445,67,198,40 29/16,0,n/a,ornamentation
446,69,199,40 15/8,0,n/a,ornamentation
447,71,200,40 31/16,0,n/a,ornamentation
448,72,201,41,0,1,other
449,71,202,41 1/16,5,n/a,ornamentation
450,69,203,41 1/8,5,n/a,ornamentation
451,67,204,41 3/16,5,n/a,ornamentation
452,69,205,41 1/4,5,n/a,ornamentation
453,67,206,41 5/16,5,n/a,ornamentation
454,66,207,41 3/8,5,n/a,ornamentation
455,64,208,41 7/16,5,n/a,ornamentation
456,62,209,41 1/2,5,n/a,ornamentation
457,60,210,41 9/16,5,n/a,ornamentation
458,59,211,41 5/8,5,n/a,ornamentation
459,57,212,41 11/16,5,n/a,ornamentation
460,59,213,41 3/4,5,n/a,ornamentation
461,57,214,41 13/16,5,n/a,ornamentation
462,59,215,41 7/8,5,n/a,ornamentation
463,60,216,41 15/16,5,n/a,ornamentation
464,43,217,41 1/1,5,0,repetition
465,59,218,41 5/4,4,4,other
466,62,218,41 5/4,2,0,repetition
467,67,218,41 5/4,1,0,repetition
468,55,219,41 3/2,4,0,repetition
469,60,220,41 7/4,2,2,other
470,43,221,42,5,0,repetition
471,50,221,42,4,5,other
472,55,221,42,3,0,repetition
473,59,221,42,0,12,other
474,62,221,42,2,0,repetition
475,67,221,42,1,0,repetition
